Line Number, critical sign, critical sign on line
1.181, obelos, 
1.195, asterisk?, obelos
1.287, asterisk?,
1.446, asterisk?,
2.11, asterisk?,
2.27, asterisk, asterisk & obelos 
2.192, antisigma periestigmenon, antisigma periestigmenon
2.220, obelos, dotted diple 
2.328, diple, diple
2.385, diple, diple
2.449, asterisk,
2.527, diple, diple
2.629, asterisk, diple
2.634, obelos, dotted diple
2.667, dotted diple, dotted diple
2.671, asterisk, 
2.672, asterisk, 
2.730, diple, diple
2.741, dotted diple, diple
2.745, dotted diple, diple
2.791, obelos, obelos
2.819, dotted diple, diple
2.867, diple, diple
3.11, asterisk, diple
3.24, asterisk,
3.48, diple, diple
3.59, diple,
3.64, obelos,
3.65, diple, diple
3.100, dotted diple, dotted diple
3.74, asterisk, dotted diple
3.103, diple, diple
3.104, diple, diple
3.144, obelos, obelos & diple
3.219, diple, diple
3.273, dotted diple, dotted diple
6.174, diple, diple
7.161, diple, diple
8.19, asterisk, diple
9.568, asterisk, diple
10.397, obelos, obelos
11.13, obelos & asterisk, obelos & asterisk
11.692, diple, diple
11.747, diple, diple
11.802-803, obelos, obelos & asterisk
12.363, obelos, obelos
13.197, diple, diple
13.493, diple, diple
13.687, diple, diple
14.58, obelos, diple
14.95, asterisk and obelos, asterisk and obelos
14.128, diple, diple
14.214, diple, diple
14.317, obelos, obelos
14.500, obelos, obelos
15.212, obelos, obelos
15.265, asterisk, asterisk and obelos
15.449, asterisk, asterisk and obelos
15. 464, diple, diple
15.640, obelos, dotted diple
15.730, obelos, diple
16.97, obelos, obelos
16.237, obelos and asterisk, obelos andasterisk
16.243, dotted diple, dotted diple
16.299, asterisk, asterisk
16.500, diple, diple
16.548, asterisk, 
17.173, asterisk, asterisk
17.197, diple, diple
18.182, asterisk, 
18.356, diple, diple
18.378, obelos, 
18.496, asterisk, diple
19.114, diple, diple
19.115, diple, diple
19.407, obelos, obelos
20.195, asterisk and obelos, asterisk and obelos
20.235a, obelos, asterisk
20.235b, asterisk, asterisk
20.251, obelos, obelos
20.255, obelos, obelos
20.283, diple, 
20.298, diple, diple
20299, diple, diple
21.95, asterisk, dotted diple
21.471, obelos, obelos
21.495, obelos, diple
21.570, obelos, obelos
22.84, obelos, diple
22.93, diple, diple
22.128, diple, diple
22.143, diple, diple
22.148, diple, diple
22.151, diple, diple
22.199, obelos, obelos
22.202, obelos, diple
22.255, diple, diple
22.308, diple, diple
22.356, diple, diple
22.362, diple, diple
22.393, obelos, obelos
22.440, diple, diple
23.29, diple, diple
23.37, diple, diple
23.295, obelos, diple
23.405, obelos, obelos
23.408, obelos, diple
23.479, obelos, obelos
23.481, obelos, diple
23.707, diple, 
23.772, dotted diple and obelos, asterisk and obelos
23.806, obelos, obelos
23.810, obelos, obelos
23.843, asterisk and obelos, obelos
24.45, obelos, obelos
24.47, diple, diple
24.77, obelos, diple
24.100, diple, diple
24.174, asterisk, 
24.228, diple, diple
24.241, diple, diple
24.304, diple and obelos, obelos
24.522, obelos, 
24.527, obelos, diple
24.545, diple, diple
24.594, obelos, obelos

