Text,Image,Folio
urn:cts:greekLit:tlg5026.msA.hmt:21.1,"urn:cite:hmt:vaimg.VA270RN-0440@0.205,0.0908,0.639,0.1658",urn:cite:hmt:msA.270r
urn:cts:greekLit:tlg5026.msA.hmt:21.2,"urn:cite:hmt:vaimg.VA270RN-0440@0.641,0.2551,0.187,0.0675",urn:cite:hmt:msA.270r
urn:cts:greekLit:tlg5026.msA.hmt:21.3,"urn:cite:hmt:vaimg.VA270RN-0440@0.64,0.3151,0.192,0.087",urn:cite:hmt:msA.270r
urn:cts:greekLit:tlg5026.msA.hmt:21.4,"urn:cite:hmt:vaimg.VA270RN-0440@0.64,0.3983,0.192,0.0585",urn:cite:hmt:msA.270r
urn:cts:greekLit:tlg5026.msA.hmt:21.5,"urn:cite:hmt:vaimg.VA270RN-0440@0.64,0.4464,0.208,0.0645",urn:cite:hmt:msA.270r
urn:cts:greekLit:tlg5026.msA.hmt:21.6,"urn:cite:hmt:vaimg.VA270RN-0440@0.631,0.5026,0.208,0.0645",urn:cite:hmt:msA.270r
urn:cts:greekLit:tlg5026.msA.hmt:21.7,"urn:cite:hmt:vaimg.VA270RN-0440@0.618,0.5581,0.207,0.0878",urn:cite:hmt:msA.270r
urn:cts:greekLit:tlg5026.msA.hmt:21.8,"urn:cite:hmt:vaimg.VA270RN-0440@0.176,0.6354,0.639,0.0863",urn:cite:hmt:msA.270r'
urn:cts:greekLit:tlg5026.msA.hmt:21.9,"urn:cite:hmt:vaimg.VA270RN-0440@0.176,0.6992,0.639,0.0503",urn:cite:hmt:msA.270r
urn:cts:greekLit:tlg5026.msA.hmt:21.10,"urn:cite:hmt:vaimg.VA270RN-0440@0.176,0.7254,0.639,0.0375",urn:cite:hmt:msA.270r
